,Topic,Words,Frequency,Timestamp
74,41,"ffm, sachsenhausen, verheerender, raeumt, monumentalessystemversagen",1,2014-08-02 09:06:34.971428608+00:00
75,67,"ballon, irgersdorf, heißluftballons, dsw, jugendmuseum",1,2014-08-02 09:06:34.971428608+00:00
76,74,"stillstand, hereinbricht, zeitweise, straßen, wettertrend",1,2014-08-02 09:06:34.971428608+00:00
77,169,"wasserstand, dickopsbach, vierzig, schiffsbruecke, kreisstraßen",1,2014-08-02 09:06:34.971428608+00:00
78,170,"bilder, stadtgemeinde, zehn, katastrophenreporter, meteorology",1,2014-08-02 09:06:34.971428608+00:00
79,410,"blockiert, straßen, unwetter, vehrkerschaos, soma",1,2014-08-02 09:06:34.971428608+00:00
80,-1,"weißer, warnt, hochwasser, einsatzbericht, sammywilktour",1,2014-08-03 05:53:13.714285824+00:00
81,2,"weißer, elster, landkreis, krankheitserregern, bauingenieure",1,2014-08-03 05:53:13.714285824+00:00
82,33,"regen, sommer, regenmenge, gewitterstreifen, unwettergefahr",1,2014-08-03 05:53:13.714285824+00:00
83,-1,"tumulten, stadt, hochwasser, sammywilktour, doepfner",1,2014-08-04 02:39:52.457142784+00:00
84,15,"altstadtring, tunnel, fb, gesperrt, verkehrsbehinderungen",1,2014-08-04 02:39:52.457142784+00:00
85,111,"rekord, regenfaellen, soforthilfe, woche, zwei",1,2014-08-04 02:39:52.457142784+00:00
86,268,"regenfaellen, ueberschritten, congresshalle, stadiondach, biberach",1,2014-08-04 02:39:52.457142784+00:00
87,382,"ortvia, geoforum, klosters, kosteten, dokumente",1,2014-08-04 02:39:52.457142784+00:00
88,-1,"elbresidenz, risiko, hotel, stadt, hochwasser",2,2014-08-05 20:13:09.942857216+00:00
89,3,"sommer, regen, stadt, hochwasser, rheinpegel",1,2014-08-05 20:13:09.942857216+00:00
90,469,"sommer, bild, regen, unwetter, stagniert",1,2014-08-05 20:13:09.942857216+00:00
91,-1,"groschek, landesminister, stadtgebiete, besonders, betroffenen",1,2014-08-06 16:59:48.685714176+00:00
92,8,"arbeitnehmer, mail, meisten, problem, berliner",1,2014-08-06 16:59:48.685714176+00:00
93,102,"stadt, hochwasser, freibadsaison, kaltgetraenk, symbolisieren",1,2014-08-06 16:59:48.685714176+00:00
94,246,"derwesten, auszahlung, soforthilfe, hydrometeorologe, absehbar",1,2014-08-06 16:59:48.685714176+00:00
95,261,"entsorgungsbetriebe, gabriels, bombendrohung, antennethueringen, dekorationsabteilung",3,2014-08-06 16:59:48.685714176+00:00
96,298,"boot, woche, priorisierung, feierabendverkehr, moskitonetz",1,2014-08-06 16:59:48.685714176+00:00
97,402,"erkennungszeichen, vandalismus, emotionaler, bundestagskandidat, wsws",1,2014-08-06 16:59:48.685714176+00:00
98,-1,"katastrophenforscher, maßnahmen, online, stadtgemeinde, hochwasser",2,2014-08-07 13:46:27.428571392+00:00
99,4,"dafuer, thw, bundesland, leegebruch, starkniederschlaege",1,2014-08-07 13:46:27.428571392+00:00
100,5,"plakat, stadtgemeinde, unwetterwarnung, regenwand, kalten",2,2014-08-07 13:46:27.428571392+00:00
101,250,"dogood, muellbergen, dogoodday, fotos, wetterticker",1,2014-08-07 13:46:27.428571392+00:00
102,352,"fern, krems, oesterreichische, gham, nordafrika",1,2014-08-07 13:46:27.428571392+00:00
103,-1,"mariengrund, geblieben, www, stadt, hochwasser",2,2014-08-08 10:33:06.171428608+00:00
104,-1,"rueckverlegt, nordsee, schutz, stadt, hochwasser",3,2014-08-09 07:19:44.914285824+00:00
105,90,"gimmick, plakatiert, marktplatz, rande, unternehmenszahlen",1,2014-08-09 07:19:44.914285824+00:00
106,102,"plakat, wehrt, stadtgemeinde, freibadsaison, tropft",1,2014-08-09 07:19:44.914285824+00:00
107,-1,"heftigen, regenfaellen, stadt, hochwasser, sammywilktour",1,2014-08-10 04:06:23.657142784+00:00
108,3,"ludwigshafen, regenfaellen, allein, regen, unwetter",2,2014-08-10 04:06:23.657142784+00:00
109,20,"terroristen, juden, abgeschafft, book, antisemitischer",1,2014-08-10 04:06:23.657142784+00:00
110,25,"gefahren, pfarrstraße, fantastischer, rums, laschetlasset",1,2014-08-10 04:06:23.657142784+00:00
111,90,"spenden, unternehmenszahlen, flaechenversiegelung, dankenswerter, arbeitsagenturen",1,2014-08-10 04:06:23.657142784+00:00
112,206,"stadtgemeinde, eifelplatz, wettergeschehens, kunstrasenplatz, jedewocheeinbild",1,2014-08-10 04:06:23.657142784+00:00
113,228,"stadtgemeinde, hochwasser, belastungsprobe, geblockt, planungstempo",1,2014-08-10 04:06:23.657142784+00:00
114,-1,"weniger, stadtgemeinde, hochwasser, sammywilktour, doepfner",1,2014-08-11 21:39:41.142857216+00:00
115,143,"mariengrund, geblieben, krokusse, lockte, ueberlebenswille",1,2014-08-11 21:39:41.142857216+00:00
116,203,"stadt, hochwasser, cellos, dankemerkel, kasselberg",1,2014-08-11 21:39:41.142857216+00:00
117,-1,"millimeterarbeit, uebungskonzept, partizipation, krisenmanagement, fehlern",3,2014-08-12 18:26:19.885714176+00:00
118,25,"schalker, preuße, uebrigens, liebe, pfarrstraße",1,2014-08-12 18:26:19.885714176+00:00
119,57,"mobiler, gebag, klagen, pausen, schutzkleidung",1,2014-08-12 18:26:19.885714176+00:00
120,-1,"webseiten, blueht, gartenanlage, westfalen, hochwasser",2,2014-08-13 15:12:58.628571392+00:00
121,2,"trickdiebe, not, unwetter, krankheitserregern, warnung",1,2014-08-13 15:12:58.628571392+00:00
122,50,"stadt, hochwasser, nk, januar, fischauktionshalle",1,2014-08-13 15:12:58.628571392+00:00
123,261,"trickdi, entsorgungsbetriebe, gabriels, bombendrohung, wehren",2,2014-08-13 15:12:58.628571392+00:00
124,294,"angst, umweltschutz, wirkung, bankschließfaecher, jahreszeitenparks",1,2014-08-13 15:12:58.628571392+00:00
125,-1,"feiertag, socken, nachgelassen, supermarkt, mails",2,2014-08-14 11:59:37.371428608+00:00
126,169,"vierzig, wassermarsch, regen, dickopsbach, niederdrees",1,2014-08-14 11:59:37.371428608+00:00
127,320,"ersetzt, pferderennbahn, stadtbruecke, geschwommen, umweltreferent",1,2014-08-14 11:59:37.371428608+00:00
128,-1,"pax, bonum, hochwasser, einsatzbericht, sammywilktour",1,2014-08-15 08:46:16.114285824+00:00
129,78,"maischberger, lenssen, niederortbruecke, krisensitzung, kuehltruhe",1,2014-08-16 05:32:54.857142784+00:00
130,210,"braeche, regenguss, festgenuss, moegen, stadtgemeinde",1,2014-08-16 05:32:54.857142784+00:00
131,-1,"hut, guck, stadt, hochwasser, sammywilktour",1,2014-08-17 02:19:33.600000+00:00
132,-1,"tueckisch, run, stadt, hochwasser, sammywilktour",1,2014-08-18 19:52:51.085714176+00:00
133,68,"spenden, langfristig, finanziert, devastierung, brennenden",1,2014-08-19 16:39:29.828571392+00:00
134,153,"aufbaugeld, euro, stadtgemeinde, millionen, landesregierung",1,2014-08-19 16:39:29.828571392+00:00
135,201,"stadtgemeinde, heiße, statistische, notuenterkuenften, steine",1,2014-08-19 16:39:29.828571392+00:00
136,219,"ww, video, strassenzusammenbruch, hinzugefuegt, playlist",1,2014-08-19 16:39:29.828571392+00:00
137,287,"fischbecker, brauchen, jahr, fischmarkt, strandperle",1,2014-08-19 16:39:29.828571392+00:00
138,303,"viele, kernenergie, gendert, kirche, willkuer",1,2014-08-20 13:26:08.571428608+00:00
139,-1,"topnews, wappnet, fw, stadtgemeinde, sammywilktour",2,2014-08-21 10:12:47.314285824+00:00
140,21,"emailarchivierung, spam, liveblog, newsblog, podcast",1,2014-08-21 10:12:47.314285824+00:00
141,232,"howafo, stadtgemeinde, forschungsteam, psalm, zurueckgeschickt",1,2014-08-21 10:12:47.314285824+00:00
142,-1,"pumpt, land, hochwasser, doepfner, ripnaina",1,2014-08-24 21:19:22.285714176+00:00
143,5,"hochsommer, wetter, unwetterwarnung, regenwand, kalten",1,2014-08-24 21:19:22.285714176+00:00
144,-1,"fuersprotokoll, radler, schutz, video, feuerwehr",3,2014-08-25 18:06:01.028571392+00:00
145,10,"polizeiinspektion, pluenderungsversuchen, polizeipraesidiums, polizeistaat, jugendliche",1,2014-08-25 18:06:01.028571392+00:00
146,63,"video, amp, stadtgemeinde, feuerwehrschule, bienchen",1,2014-08-25 18:06:01.028571392+00:00
147,106,"stadtgemeinde, drogensuechtige, gsb, bildbeweis, sauber",1,2014-08-25 18:06:01.028571392+00:00
148,295,"knights, dragons, cheats, bedrohung, maerkischem",1,2014-08-25 18:06:01.028571392+00:00
149,-1,"gmuend, freilichtbuehne, nachfuehlen, neiße, kleines",7,2014-08-26 14:52:39.771428608+00:00
150,13,"aquado, kitesurfing, orientierungspunkt, luebeckerbucht, ortmerkel",1,2014-08-26 14:52:39.771428608+00:00
151,22,"oelzweig, fenster, wetter, verlor, griese",1,2014-08-26 14:52:39.771428608+00:00
152,318,"freilichtbuehne, unterwassermargeriten, unfallhilfe, stadtverbandes, vulkanausbruch",1,2014-08-26 14:52:39.771428608+00:00
153,-1,"poldergeist, ratssitzung, elbstrand, stelle, sommer",3,2014-08-27 11:39:18.514285824+00:00
154,6,"nordkurier, stadt, muesli, fuechtet, trailrunning",1,2014-08-27 11:39:18.514285824+00:00
155,19,"psyche, chaos, angstgegner, gentners, informationsfluss",1,2014-08-27 11:39:18.514285824+00:00
156,-1,"glueckwuenschen, zahlreichen, fans, stadt, hochwasser",1,2014-08-28 08:25:57.257142784+00:00
157,-1,"monatelangem, mitteldeutschen, multimediazentrum, fw, stadtgemeinde",2,2014-08-29 05:12:36+00:00
158,105,"germanistik, cremers, talk, podcast, sueddeutschland",1,2014-08-29 05:12:36+00:00
159,160,"bestraft, exercisek, ortentwuerfe, christi, standesaemter",1,2014-08-29 05:12:36+00:00
160,291,"multimediazentrum, innsbruck, schienenersatzverkehr, trending, lokalradio",1,2014-08-29 05:12:36+00:00
161,125,"facebook, instagram, medienkompetenz, google, falschmeldungen",1,2014-08-30 01:59:14.742857216+00:00
162,143,"ohhh, trocken, wetter, klatschnass, schnitzeljagd",1,2014-08-30 01:59:14.742857216+00:00
163,317,"regelmaeßig, ironie, kragen, enkelkinder, verschlechtert",1,2014-08-30 01:59:14.742857216+00:00
164,-1,"stadt, hochwasser, einsatzbericht, sammywilktour, dudg",2,2014-08-31 19:32:32.228571392+00:00
165,36,"hochwasser, balkanroute, landtags, thunberg, rueckfuehrungen",1,2014-08-31 19:32:32.228571392+00:00
166,149,"neujahrsempfang, jugendlicher, hessenladies, jahrhundertkatastrophe, mccain",1,2014-08-31 19:32:32.228571392+00:00
167,286,"neckarpromenade, luftmatratze, gebaeudeeinsturz, notverglasung, oekostrom",1,2014-09-01 16:19:10.971428608+00:00
168,209,"bydgoszcz, polnische, wahrzeichen, streamen, twitterperlen",1,2014-09-02 13:05:49.714285824+00:00
169,338,"bydgoszcz, polnische, tendenz, leichte, jetstream",1,2014-09-02 13:05:49.714285824+00:00
170,-1,"ibb, bombenfunde, schulbeginn, bedrohung, trocken",3,2014-09-03 09:52:28.457142784+00:00
171,11,"funktioniert, sirenenalarm, probealarm, alarmsystem, wassereinbruch",1,2014-09-03 09:52:28.457142784+00:00
172,309,"bunker, getestet, sirenen, sari, lipinski",1,2014-09-03 09:52:28.457142784+00:00
173,5,"informationsmangel, unwetterwarnung, regenwand, kalten, britische",1,2014-09-04 06:39:07.200000+00:00
174,279,"wasser, mops, heilkopter, grog, sprichwort",1,2014-09-05 03:25:45.942857216+00:00
175,-1,"thw, stadt, hochwasser, einsatzbericht, sammywilktour",1,2014-09-06 20:59:03.428571392+00:00
176,10,"falschgeld, warnt, polizeiinspektion, pluenderungsversuchen, polizeistaat",1,2014-09-10 08:05:38.400000+00:00
177,128,"entspannter, drei, heute, bleiben, durchpfluegt",1,2014-09-13 19:12:13.371428608+00:00
178,58,"stadt, schutzmaßnahmen, netzinfrastruktur, hochwasser, initiativen",1,2014-09-15 12:45:30.857142784+00:00
179,163,"tangermuende, schwachsinn, universalgelehrte, einzureisen, euskirch",1,2014-09-16 09:32:09.600000+00:00
180,195,"massentierhaltung, stinkende, nitrat, klage, grundwasser",1,2014-09-17 06:18:48.342857216+00:00
181,294,"angst, umweltschutz, wirkung, parkkarteninhaber, jahreszeitenparks",1,2014-09-17 06:18:48.342857216+00:00
182,-1,"accounts, ff, einsatzbericht, sammywilktour, doepfner",1,2014-09-18 03:05:27.085714176+00:00
183,27,"verkehrschaos, sperrungen, traktor, abendstunden, aktualisierung",1,2014-09-18 03:05:27.085714176+00:00
184,136,"save, stadthalle, glueck, regen, traditionself",1,2014-09-19 20:38:44.571428608+00:00
185,307,"monsun, wolkenbruch, morgen, wasser, maenner",1,2014-09-19 20:38:44.571428608+00:00
186,-1,"moersergranaten, stadt, hochwasser, einsatzbericht, sammywilktour",1,2014-09-21 14:12:02.057142784+00:00
187,14,"stadt, hochwasser, unwetters, davongekommen, waschen",1,2014-09-21 14:12:02.057142784+00:00
188,21,"spotify, newsblog, podcast, blogtraffic, whatsapp",1,2014-09-21 14:12:02.057142784+00:00
189,209,"landfunker, streamen, schalten, ortsturmflu, vpv",1,2014-09-21 14:12:02.057142784+00:00
190,-1,"saalfelder, populismus, kritik, ostthueringer, landrat",5,2014-09-22 10:58:40.800000+00:00
191,268,"spielgarten, koboldmuehle, vorjahr, regenfaellen, viktoriabruecke",1,2014-09-23 07:45:19.542857216+00:00
192,105,"geoforum, mitteldeutschen, budapest, istanbul, frankfurtammain",1,2014-09-24 04:31:58.285714176+00:00
193,382,"geoforum, private, ortvia, auszahlung, behindern",1,2014-09-24 04:31:58.285714176+00:00
194,-1,"spaetsommer, regnet, stadt, hochwasser, sammywilktour",1,2014-09-28 12:25:12+00:00
195,37,"tensing, technische, spende, wellenbad, fessenheim",1,2014-10-01 02:45:08.228571392+00:00
196,399,"zdfkultur, tierische, phoenix, landkr, verliebt",1,2014-10-03 17:05:04.457142784+00:00
197,128,"durchpfluegt, km, bleiben, verunsicherung, gartenpaechter",1,2014-10-07 04:11:39.428571392+00:00
198,273,"regenschirm, live, landesinneren, waskoenntihreigentlich, quadrate",1,2014-10-07 04:11:39.428571392+00:00
199,218,"kunstfestival, olobianco, url, sondergewaesserschau, kitaplaetze",1,2014-10-10 15:18:14.400000+00:00
200,225,"wiederholten, privatleute, wasserpfeifen, wiederaufbauprojekte, flussabschnitte",1,2014-10-10 15:18:14.400000+00:00
201,-1,"informationen, schutz, stadt, sammywilktour, doepfner",1,2014-10-12 08:51:31.885714176+00:00
202,4,"adrenalin, kanu, leegebruch, starkniederschlaege, unbeschreibliches",1,2014-10-12 08:51:31.885714176+00:00
203,337,"maeckeritzwiesen, pumpen, einsatzteam, bewerbungsfrist, einwohnerversammlung",1,2014-10-12 08:51:31.885714176+00:00
204,172,"klage, ermittlungsverfahren, virus, gefahrenmeldesystem, starkregenvorsorgekonzept",1,2014-10-14 02:24:49.371428608+00:00
205,-1,"luetzschenaer, wattenmeer, wehr, warten, fall",2,2014-10-15 19:58:06.857142784+00:00
206,82,"pontonhafen, boot, kajak, schiffsansammlung, schlauchboot",1,2014-10-16 16:44:45.600000+00:00
207,165,"vierte, rechnet, besser, grenzen, klimatote",1,2014-10-19 07:04:41.828571392+00:00
208,219,"katastrophenschutz, video, hinzugefuegt, playlist, abgeschafft",1,2014-10-19 07:04:41.828571392+00:00
209,-1,"stadt, hochwasser, sammywilktour, doepfner, gillessen",2,2014-10-20 03:51:20.571428608+00:00
210,298,"morgenpost, priorisierung, moskitonetz, vogelparadies, newradio",4,2014-10-20 03:51:20.571428608+00:00
211,-1,"quatschtag, parken, restaurants, gastronomen, terrassen",13,2014-10-21 21:24:38.057142784+00:00
212,3,"normaler, sturm, regen, meter, stunde",1,2014-10-21 21:24:38.057142784+00:00
213,6,"trinken, morgen, geschmissen, amsterdam, trailrunning",1,2014-10-21 21:24:38.057142784+00:00
214,12,"headline, nachrichtenagentur, tennessee, hashtag, satellitenbilder",1,2014-10-21 21:24:38.057142784+00:00
215,13,"newsfunk, norden, nacht, aquado, kitesurfing",6,2014-10-21 21:24:38.057142784+00:00
216,22,"uebertrieben, bisschen, ankom, verlor, griese",2,2014-10-21 21:24:38.057142784+00:00
217,27,"wegfahren, auto, traktor, gesperrt, abendstunden",1,2014-10-21 21:24:38.057142784+00:00
218,31,"lustig, stadt, praezise, kaiserbruecke, hochwasser",1,2014-10-21 21:24:38.057142784+00:00
219,38,"sandrettungdienst, sekunde, weggeschwemmt, letzter, autofahrer",3,2014-10-21 21:24:38.057142784+00:00
220,67,"hochwasser, openstreetmap, lagerraum, jugendmuseum, kliemann",1,2014-10-21 21:24:38.057142784+00:00
221,82,"kajak, schiffsansammlung, schlauchboot, außenhafen, bootfahren",1,2014-10-21 21:24:38.057142784+00:00
222,92,"nordseekueste, wetter, sommerdeich, stadt, westliche",1,2014-10-21 21:24:38.057142784+00:00
223,109,"bus, stunden, keinraumfuerquerdenken, seenotrettungskreuzer, seltenheitswert",1,2014-10-21 21:24:38.057142784+00:00
224,158,"cuxhaven, bremerhaven, kachelmannwetter, hessische, kurzfristige",1,2014-10-21 21:24:38.057142784+00:00
225,162,"calm, keep, herbst, dramatischen, mittwochvormittag",1,2014-10-21 21:24:38.057142784+00:00
226,204,"zittert, wahnsinn, norden, sturm, wetter",1,2014-10-21 21:24:38.057142784+00:00
227,217,"knapp, windows, renovierung, karnevalsprinzen, joke",1,2014-10-21 21:24:38.057142784+00:00
228,263,"cuxhaven, bremerhaven, badenonline, vulkaneifel, schuttwellen",1,2014-10-21 21:24:38.057142784+00:00
229,298,"morgen, priorisierung, everglades, vogelparadies, feierabendverkehr",6,2014-10-21 21:24:38.057142784+00:00
230,327,"wassertaxi, kontrollierbar, massiver, vorwarnzeit, klimaschutzp",1,2014-10-21 21:24:38.057142784+00:00
231,340,"wasserschloss, fischmarkt, neues, faengen, orkanfelix",4,2014-10-21 21:24:38.057142784+00:00
232,378,"lustig, stunden, kilometern, flussstrecke, sportschuetzin",1,2014-10-21 21:24:38.057142784+00:00
233,393,"bahnhof, bahnverkehr, stadtautobahn, naechstgelegenen, saarseite",1,2014-10-21 21:24:38.057142784+00:00
234,435,"fischmarkt, live, fischauktionshalle, bisschenwasser, ausschlafen",1,2014-10-21 21:24:38.057142784+00:00
235,439,"mosel, bie, versteckt, khsfotographie, polleninformationsdienst",1,2014-10-21 21:24:38.057142784+00:00
236,446,"null, normal, stran, aort, fernwaermeleitungen",1,2014-10-21 21:24:38.057142784+00:00
237,-1,"marktgemeinderat, schlagbach, schlaft, gonzalo, kreiszeitung",9,2014-10-22 18:11:16.800000+00:00
238,13,"hurrikan, aquado, kitesurfing, orientierungspunkt, ortmerkel",1,2014-10-22 18:11:16.800000+00:00
239,28,"hochwasser, schneeschmelze, schneechaos, schneit, tauwetterbedingtes",1,2014-10-22 18:11:16.800000+00:00
240,56,"nordsee, haie, winters, minuten, nebel",1,2014-10-22 18:11:16.800000+00:00
241,76,"trend, winter, ortufern, schneeschmelze, pffff",1,2014-10-22 18:11:16.800000+00:00
242,124,"hurrikan, dpa, wasser, gegangen, bungalow",1,2014-10-22 18:11:16.800000+00:00
243,184,"winterspass, linksortisch, skulptur, moepsen, marburg",1,2014-10-22 18:11:16.800000+00:00
